id,locationCode,latitude,longitude,floor,areaId,name,isValidDestination,isAccessible,locationCategoryId
2757,87H52H53+378,41.007674999721100,-76.44678841650250,2,7,p,0,1,5
2758,87H52H53+37G,41.007686037401500,-76.4467973898656,2,7,p,0,1,5
2759,87H52H53+377,41.00767213588810,-76.44682744904660,2,7,p,0,1,5
2760,87H52H53+377,41.00766118627040,-76.44681858731630,2,7,p,0,1,5
2761,87H52H53+378,41.0076656013944,-76.4468088856664,2,7,p,0,1,5
2762,87H52H53+38C,41.00769452241280,-76.44674567637220,2,7,p,0,1,5
2763,87H52H53+38X,41.00774894920500,-76.44662709739760,2,7,p,0,1,5
2764,87H52H53+492,41.00775177450590,-76.44662126441990,2,7,p,0,1,5
2765,87H52H53+499,41.007795618696000,-76.4465257289833,2,7,p,0,1,5
2766,87H52H53+4CC,41.00781628715160,-76.44648040099850,2,7,p,0,1,5
2767,87H52H53+4CF,41.00782201400960,-76.44646820245180,2,7,p,0,1,5
2768,87H52H53+4CM,41.00783105681100,-76.44644863455880,2,7,p,0,1,5
2769,87H52H53+49X,41.007871733134200,-76.4465086833734,2,7,p,0,1,5
2770,87H52H53+5C2,41.007880774667200,-76.4464890604869,2,7,p,0,1,5
2771,87H52H53+4CC,41.00780748387670,-76.44647306519330,2,7,p,0,1,5
2772,87H52H53+39M,41.0077041361912,-76.44659068037420,2,7,p,0,1,5
2773,87H52H53+39M,41.00770730524,-76.44658344376220,2,7,p,0,1,5
2774,87H52H53+39M,41.00771106657950,-76.44657567761470,2,7,p,0,1,5
2775,87H52H53+39P,41.00772425148270,-76.44654659892360,2,7,p,0,1,5
2776,87H52H53+39X,41.00774508282930,-76.44650145687820,2,7,p,0,1,5
2777,87H52H53+4C2,41.00775191162710,-76.44648678400520,2,7,p,0,1,5
2778,87H52H53+4C2,41.00775893940290,-76.44647126375780,2,7,p,0,1,5
2779,87H52H53+39C,41.007690631019900,-76.44662004339710,2,7,p,0,1,5
2780,87H52H53+38H,41.007687927410800,-76.4466261034711,2,7,p,0,1,5
2781,87H52H53+38H,41.007682837235500,-76.44663701429450,2,7,p,0,1,5
2782,87H52H53+388,41.00766891798300,-76.44666773059510,2,7,p,0,1,5
2783,87H52H53+27X,41.00762110372650,-76.44677282832860,2,7,p,0,1,5
2784,87H52H53+375,41.00762794515000,-76.44675783796130,2,7,p,0,1,5
2785,87H52H53+382,41.00763803109920,-76.44673583413910,2,7,p,0,1,5
2786,87H52H53+27W,41.0076143502556,-76.44678738939200,2,7,p,0,1,5
2787,87H52H53+27M,41.00759701342810,-76.44682522331300,2,7,p,0,1,5
2788,87H52H53+26X,41.00762458993360,-76.44689826338430,2,7,p,0,1,5
2789,87H52H53+26W,41.00761690896880,-76.44691516697640,2,7,p,0,1,5
2790,87H52H53+26J,41.00758367381180,-76.44698718908470,2,7,p,0,1,5
2791,87H52H53+25G,41.00755453729440,-76.44705080446360,2,7,p,0,1,5
2792,87H52H53+257,41.00754376467540,-76.44707411756480,2,7,p,0,1,5
2793,87H52H53+25G,41.007568829513900,-76.44706241191860,2,7,p,0,1,5
2794,87H52H53+25F,41.00755876238590,-76.4470843006075,2,7,p,0,1,5
2795,87H52H53+25J,41.00759659898260,-76.44711484671940,2,7,p,0,1,5
2796,87H52H53+25V,41.00760665354820,-76.44709326183050,2,7,p,0,1,5
2722,87H52H53+5C2,41.00787804488850,-76.44649495584060,2.5,7,s,0,0,1
2723,87H52H53+25J,41.00759998860510,-76.44710767922590,2.5,7,s,0,0,1
2724,87H52H53+46F,41.00780040178400,-76.44694951953890,2.5,7,s,0,0,1
2725,87H52H53+467,41.00777545086490,-76.44694974522380,2,7,S,0,0,1
2923,87H52H53+478,41.00779842662450,-76.44679026553660,3,7,301,1,1,4
2924,87H52H53+47G,41.007824892064500,-76.4468108147576,3,7,302,1,1,4
2925,87H52H53+47M,41.00783477233070,-76.44681847716070,3,7,303,1,1,4
2926,87H52H53+47X,41.00785373373730,-76.44677741906640,3,7,304,1,1,4
2927,87H52H53+47Q,41.00784479275730,-76.44676757753620,3,7,305,1,1,4
2928,87H52H53+48C,41.0078182012681,-76.44674698540090,3,7,306,1,1,4
2929,87H52H53+486,41.00779073659160,-76.44672623665610,3,7,307,1,1,4
2930,87H52H53+48G,41.00781528415190,-76.44667498759860,3,7,308,1,1,4
2931,87H52H53+48M,41.007841547502200,-76.44669461257850,3,7,309,1,1,4
2932,87H52H53+48V,41.007866297596700,-76.4467166041883,3,7,310,1,1,4
2933,87H52H53+582,41.00787631268530,-76.44672353762900,3,7,311,1,1,4
2934,87H52H53+584,41.00789576797920,-76.44668092966080,3,7,312,1,1,4
2935,87H52H53+584,41.007886542046400,-76.44667257409190,3,7,313,1,1,4
2936,87H52H53+48X,41.0078605569155,-76.44665253494830,3,7,314,1,1,4
2937,87H52H53+48Q,41.00783493435800,-76.44663196706910,3,7,315,1,1,4
2938,87H52H53+49M,41.00784971827810,-76.44656360991750,3,7,316,1,1,4
2939,87H52H53+49W,41.00785617015230,-76.44655023779840,3,7,317,1,1,4
2940,87H52H53+49Q,41.00782586373150,-76.44652569788910,3,7,318,1,1,4
2941,87H52H53+49G,41.007820308432000,-76.44653960620590,3,7,319,1,1,4
2942,87H52H53+4C2,41.00776611772310,-76.44649807682130,3,7,320,1,1,4
2943,87H52H53+4C2,41.00777232805090,-76.44648329256380,3,7,321,1,1,4
2944,87H52H53+4C4,41.00775913266660,-76.4464182734983,3,7,322,1,1,4
2945,87H52H53+3CV,41.00773650764490,-76.44645417115320,3,7,323,1,1,4
2946,87H52H53+3CV,41.007729748971300,-76.44646860394250,3,7,324,1,1,4
2947,87H52H53+39Q,41.007701823979600,-76.44652873179430,3,7,325,1,1,4
2948,87H52H53+39G,41.007695957212200,-76.44654132647170,3,7,326,1,1,4
2949,87H52H53+39V,41.00772955208980,-76.44657862853930,3,7,327,1,1,4
2950,87H52H53+492,41.00776509012340,-76.44660509197170,3,7,328,1,1,4
2951,87H52H53+492,41.00775745557830,-76.4466200957375,3,7,329,1,1,4
2952,87H52H53+38W,41.00774218829180,-76.44665778661150,3,7,330,1,1,4
2953,87H52H53+26Q,41.007585499307900,-76.44689304133850,3,7,331,1,1,4
2954,87H52H53+26Q,41.007592547597,-76.44687785543830,3,7,332,1,1,4
2955,87H52H53+27F,41.00756307863600,-76.44683169523190,3,7,333,1,1,4
2956,87H52H53+276,41.00754614726760,-76.44686932759030,3,7,334,1,1,4
2957,87H52H53+269,41.00754033005830,-76.44688103847300,3,7,335,1,1,4
2958,87H52H53+263,41.00751094611140,-76.4469462901861,3,7,336,1,1,4
2959,87H52H53+263,41.007505909690700,-76.4469567733449,3,7,337,1,1,4
2960,87H52H43+X6R,41.00749248614280,-76.44699800006390,3,7,338,1,1,4
